iter	Passed	Remaining
0	136	136772
1	137	68770
2	138	46153
3	139	34799
4	140	28007
5	141	23483
6	142	20237
7	143	17845
8	144	15939
9	145	14415
10	146	13177
11	147	12135
12	148	11269
13	149	10515
14	150	9867
15	151	9334
16	152	8836
17	153	8389
18	154	7990
19	155	7624
20	156	7296
21	157	6994
22	158	6729
23	159	6481
24	160	6252
25	161	6038
26	162	5839
27	163	5664
28	164	5500
29	165	5340
30	166	5196
31	167	5058
32	168	4927
33	169	4802
34	169	4686
35	170	4573
36	171	4471
37	172	4371
38	173	4281
39	174	4191
40	175	4105
41	176	4024
42	177	3948
43	178	3873
44	179	3799
45	180	3733
46	181	3673
47	182	3612
48	183	3551
49	183	3495
50	184	3440
51	185	3386
52	186	3335
53	187	3289
54	188	3245
55	189	3198
56	190	3154
57	191	3113
58	192	3072
59	193	3031
60	194	2993
61	195	2959
62	196	2924
63	197	2889
64	198	2858
65	199	2824
66	200	2790
67	200	2752
68	201	2721
69	202	2691
70	203	2665
71	204	2639
72	205	2612
73	206	2586
74	207	2561
75	208	2535
76	209	2511
77	210	2490
78	211	2468
79	212	2446
80	213	2424
81	214	2403
82	215	2383
83	216	2365
84	218	2348
85	219	2330
86	219	2307
87	220	2288
88	221	2269
89	222	2250
90	223	2234
91	224	2217
92	225	2200
93	226	2184
94	227	2168
95	228	2152
96	229	2136
97	230	2120
98	231	2104
99	232	2091
100	233	2075
101	233	2058
102	234	2043
103	235	2028
104	236	2014
105	237	1999
106	237	1985
107	238	1971
108	239	1958
109	240	1945
110	241	1933
111	242	1921
112	243	1909
113	244	1898
114	245	1887
115	246	1875
116	247	1866
117	248	1855
118	249	1843
119	249	1833
120	250	1822
121	251	1812
122	252	1799
123	253	1789
124	254	1778
125	255	1769
126	255	1759
127	256	1747
128	257	1737
129	258	1728
130	259	1719
131	260	1711
132	261	1704
133	262	1696
134	263	1689
135	264	1682
136	265	1673
137	266	1664
138	267	1656
139	268	1647
140	269	1639
141	270	1631
142	270	1623
143	272	1616
144	272	1609
145	273	1602
146	274	1595
147	275	1588
148	276	1581
149	278	1575
150	278	1568
151	279	1561
152	280	1553
153	281	1546
154	282	1539
155	283	1531
156	283	1524
157	284	1516
158	285	1509
159	286	1503
160	287	1496
161	287	1489
162	288	1483
163	289	1477
164	290	1472
165	291	1465
166	292	1459
167	293	1453
168	294	1447
169	295	1440
170	295	1434
171	296	1428
172	297	1422
173	298	1416
174	299	1410
175	299	1404
176	300	1399
177	301	1392
178	302	1386
179	303	1381
180	303	1375
181	305	1370
182	305	1365
183	306	1360
184	307	1355
185	308	1351
186	309	1346
187	310	1340
188	311	1335
189	312	1330
190	312	1325
191	313	1320
192	314	1315
193	315	1311
194	316	1307
195	317	1302
196	318	1298
197	319	1294
198	320	1289
199	321	1285
200	322	1280
201	323	1276
202	323	1271
203	324	1267
204	325	1264
205	326	1259
206	327	1256
207	329	1252
208	330	1249
209	331	1246
210	332	1242
211	333	1239
212	334	1235
213	335	1231
214	336	1228
215	337	1224
216	338	1220
217	339	1217
218	340	1213
219	341	1209
220	342	1206
221	342	1202
222	344	1198
223	345	1195
224	346	1191
225	346	1187
226	347	1184
227	348	1180
228	349	1176
229	350	1173
230	351	1170
231	352	1166
232	353	1163
233	354	1160
234	355	1158
235	356	1155
236	357	1152
237	359	1149
238	360	1146
239	361	1143
240	361	1139
241	362	1136
242	364	1133
243	364	1130
244	366	1128
245	367	1125
246	368	1122
247	368	1118
248	369	1115
249	370	1112
250	371	1109
251	373	1107
252	374	1104
253	375	1101
254	376	1098
255	376	1095
256	377	1092
257	378	1089
258	379	1086
259	380	1084
260	381	1081
261	382	1078
262	383	1075
263	384	1072
264	385	1069
265	386	1066
266	387	1063
267	388	1060
268	389	1057
269	390	1055
270	391	1052
271	392	1050
272	393	1046
273	394	1044
274	395	1041
275	396	1039
276	397	1036
277	398	1033
278	398	1030
279	399	1027
280	400	1024
281	401	1022
282	402	1020
283	403	1018
284	405	1016
285	406	1014
286	407	1011
287	408	1009
288	409	1006
289	410	1004
290	411	1001
291	412	999
292	413	996
293	413	994
294	414	991
295	415	989
296	416	986
297	418	984
298	419	982
299	420	980
300	421	977
301	421	975
302	422	972
303	423	969
304	424	967
305	425	964
306	426	962
307	427	959
308	428	957
309	428	954
310	429	952
311	430	950
312	431	947
313	432	945
314	433	943
315	434	941
316	435	938
317	436	936
318	437	933
319	438	931
320	439	928
321	439	926
322	440	923
323	441	921
324	442	919
325	443	917
326	444	915
327	446	913
328	447	911
329	447	909
330	449	907
331	449	905
332	450	902
333	451	900
334	452	898
335	453	896
336	454	894
337	455	892
338	456	890
339	457	888
340	458	886
341	459	884
342	460	882
343	461	880
344	462	878
345	463	876
346	464	874
347	465	872
348	466	870
349	467	868
350	468	866
351	469	864
352	470	862
353	471	860
354	472	858
355	473	856
356	474	854
357	475	852
358	476	849
359	476	847
360	477	845
361	478	843
362	479	841
363	480	839
364	481	837
365	482	835
366	483	833
367	484	831
368	485	829
369	486	827
370	486	825
371	487	823
372	488	821
373	489	819
374	490	817
375	491	815
376	492	813
377	492	810
378	493	808
379	494	806
380	495	804
381	495	802
382	496	800
383	497	798
384	498	795
385	499	793
386	500	792
387	501	790
388	502	788
389	503	787
390	504	785
391	504	783
392	505	781
393	506	779
394	507	777
395	508	775
396	509	773
397	510	771
398	511	769
399	511	767
400	512	766
401	513	764
402	514	762
403	515	760
404	516	759
405	517	757
406	518	755
407	519	754
408	520	752
409	521	750
410	522	748
411	523	747
412	524	745
413	525	743
414	526	741
415	527	740
416	528	738
417	529	736
418	530	735
419	531	733
